date,item,store,price,url
2026-05-26,Eggplant,Bonpreu Esclat,2.19,https://www.compraonline.bonpreuesclat.cat/products/73830e9b-cfc9-46ad-882c-228c072cecf0/details
2026-05-26,Banana,Bonpreu Esclat,1.25,https://www.compraonline.bonpreuesclat.cat/products/a2a1a4ca-d68c-4ac7-bfc3-569da723a9de/details
2026-05-26,Apple,Bonpreu Esclat,2.19,https://www.compraonline.bonpreuesclat.cat/products/5e684724-6e91-4067-8483-5e466bef7f25/details
2026-05-26,Kiwi,Bonpreu Esclat,6.98,https://www.compraonline.bonpreuesclat.cat/products/07177184-008a-43bb-9789-896abb15c566/details
2026-05-26,Orange,Bonpreu Esclat,1.95,https://www.compraonline.bonpreuesclat.cat/products/534842d5-0a85-48b1-a91c-1fe354a097a4/details
2026-05-26,Avocado,Bonpreu Esclat,5.29,https://www.compraonline.bonpreuesclat.cat/products/7dae93de-3803-487c-ac06-3feb5dc3a9d4/details
2026-05-26,Almonds,Bonpreu Esclat,12.00,https://www.compraonline.bonpreuesclat.cat/products/f6e70403-d768-4bd2-9269-13f7f6d44d49/details
2026-05-26,Walnuts,Bonpreu Esclat,5.98,https://www.compraonline.bonpreuesclat.cat/products/461e16b2-5ea7-4dc3-92c1-4249f979607e/details
2026-05-26,Hazelnuts,Bonpreu Esclat,21.45,https://www.compraonline.bonpreuesclat.cat/products/88ddbb45-4079-4082-b3ef-670e17bf31aa/details
2026-05-26,Pork loin,Bonpreu Esclat,8.99,https://www.compraonline.bonpreuesclat.cat/products/a0581813-38c7-4773-acc5-2db180f34de2/details
2026-05-26,Chicken breast,Bonpreu Esclat,8.49,https://www.compraonline.bonpreuesclat.cat/products/50e710ee-6e0c-43e9-a25a-c6febf254fe1/details
2026-05-26,Chicken thigh,Bonpreu Esclat,8.35,https://www.compraonline.bonpreuesclat.cat/products/be2dacae-0477-44a9-9f36-a5c6e737df02/details
2026-05-26,Plain natural yogurt,Bonpreu Esclat,1.34,https://www.compraonline.bonpreuesclat.cat/products/f98b9f01-a083-4d1c-ab70-7f49ff96f141/details
2026-05-26,Eggs (up to 12),Bonpreu Esclat,2.99,https://www.compraonline.bonpreuesclat.cat/products/d9fc6a27-c4f9-4f92-8f0e-1b1e41f053a5/details
2026-05-26,Brown rice,Carrefour,1.43,https://www.carrefour.es/supermercado/arroz-redondo-integral-carrefour-1-kg/R-VC4AECOMM-689578/p
2026-05-26,Dried lentils,Carrefour,1.85,https://www.carrefour.es/supermercado/lenteja-categoria-extra-carrefour-1-kg/R-536500291/p
2026-05-26,Cooked chickpeas,Carrefour,2.12,https://www.carrefour.es/supermercado/garbanzos-cocidos-categoria-extra-classic-carrefour-400-g/R-521005495/p
